STATION,route_id,hr,crowd
BROOKLYN BRIDGE,6,3,0.0
103 ST,1,4,47.333333333333336
72 ST,1,4,45.75
71 ST,D,4,21.333333333333332
MOSHOLU PKWY,4,4,0.0
7 AV,G,4,
138/GRAND CONC,4,4,83.0
MT EDEN AV,4,4,36.333333333333336
7 AV,F,4,
7 AV,E,4,
MYRTLE AV,J,4,21.333333333333332
7 AV,D,4,5.5
69 ST,7,4,28.0
MYRTLE AV,M,4,4.5
68ST-HUNTER CO,6,4,3.5
68ST-HUNTER CO,4,4,23.0
MYRTLE-WILLOUGH,G,4,3.5
NASSAU AV,G,4,1.25
MORISN AV/SNDVW,6,4,6.0
MIDDLETOWN RD,6,4,41.5
72 ST,A,4,14.5
72 ST-2 AVE,M,4,1.0
79 ST,1,4,71.5
77 ST,R,4,
MARCY AV,J,4,25.666666666666668
135 ST,A,4,7.0
77 ST,6,4,11.4
77 ST,4,4,23.0
MARCY AV,M,4,1.0
75 ST-ELDERTS,J,4,45.0
METROPOLITAN AV,G,4,1.25
75 AV,F,4,5.5
75 AV,E,4,7.5
METROPOLITAN AV,M,4,0.0
74 ST-BROADWAY,7,4,26.3
WALL ST,2,4,0.0
METS-WILLETS PT,7,4,11.5
137 ST CITY COL,1,4,23.333333333333332
72 ST-2 AVE,Q,4,
67 AV,E,4,6.0
66 ST-LINCOLN,2,4,7.0
66 ST-LINCOLN,1,4,52.333333333333336
NECK RD,Q,4,
57 ST,F,4,
NORTHERN BLVD,E,4,0.0
55 ST,D,4,22.0
53 ST,R,4,
53 ST,N,4,
52 ST,7,4,24.714285714285715
51 ST,6,4,2.6
NEWKIRK PLAZA,Q,4,
W 4 ST-WASH SQ,M,4,
NORWOOD AV,J,4,28.5
50 ST,E,4,150.0
50 ST,D,4,22.333333333333332
NOSTRAND AV,4,4,11.0
50 ST,A,4,13.5
NOSTRAND AV,A,4,4.0
50 ST,1,4,7.0
14 ST,A,4,29.0
57 ST,M,4,
W 8 ST-AQUARIUM,F,4,0.0
57 ST-7 AV,N,4,17.25
NEPTUNE AV,F,4,
W 8 ST-AQUARIUM,Q,4,
14 ST,1,4,13.375
65 ST,E,4,0.0
NEREID AV,2,4,0.0
63 DR-REGO PARK,E,4,6.5
NEVINS ST,2,4,1.0
61 ST WOODSIDE,7,4,28.333333333333332
59 ST COLUMBUS,D,4,7.0
59 ST COLUMBUS,A,4,12.5
NEVINS ST,4,4,4.5
59 ST COLUMBUS,1,4,67.125
59 ST,R,4,
59 ST,N,4,15.833333333333332
NEW UTRECHT AV,N,4,
NEWKIRK AV,2,4,0.0
57 ST-7 AV,Q,4,
MARBLE HILL-225,1,4,26.0
5 AVE,7,4,7.8
79 ST,D,4,17.333333333333332
8 AV,A,4,29.0
ATL AV-BARCLAY,4,4,10.75
JUNCTION BLVD,7,4,29.333333333333332
ASTORIA DITMARS,N,4,0.0
ASTORIA BLVD,N,4,0.0
JUNIUS ST,4,4,2.0
KEW GARDENS,E,4,7.0
ASTOR PL,6,4,2.0
125 ST,4,4,85.0
WESTCHESTER SQ,6,4,2.75
KEW GARDENS,F,4,5.0
ALLERTON AV,2,4,13.0
KINGS HWY,F,4,
ALABAMA AV,J,4,26.0
96 ST-2 AVE,Q,4,0.0
KINGS HWY,N,4,
96 ST,A,4,8.5
AQUEDUCT RACETR,A,4,12.0
AVENUE H,Q,4,
AVENUE I,F,4,
JKSN HT-ROOSVLT,F,4,9.0
B'WAY-LAFAYETTE,D,4,7.0
AVENUE X,F,4,
125 ST,2,4,10.0
JAY ST-METROTEC,A,4,4.0
AVENUE U,Q,4,
AVENUE U,N,4,0.0
JAY ST-METROTEC,F,4,
AVENUE U,F,4,
JAY ST-METROTEC,N,4,
WHITEHALL S-FRY,R,4,5.0
AVENUE P,F,4,
JAY ST-METROTEC,R,4,
WHITEHALL S-FRY,N,4,
AVENUE N,F,4,
AVENUE M,Q,4,
JKSN HT-ROOSVLT,E,4,12.0
AVENUE J,Q,4,
125 ST,6,4,11.0
KINGS HWY,Q,4,
96 ST,6,4,16.333333333333332
96 ST,4,4,39.0
86 ST,4,4,13.25
86 ST,1,4,64.5
85 ST-FOREST PK,J,4,46.0
LEXINGTON AV/63,F,4,
82 ST-JACKSON H,7,4,27.666666666666668
LEXINGTON AV/63,M,4,
LEXINGTON AV/63,Q,4,
81 ST-MUSEUM,A,4,5.0
135 ST,2,4,10.0
80 ST,A,4,23.5
LIBERTY AV,A,4,32.5
8 ST-NYU,Q,4,
8 ST-NYU,N,4,
LONGWOOD AV,6,4,7.75
8 AV,N,4,
LORIMER ST,J,4,24.666666666666668
8 AV,E,4,4.25
LEXINGTON AV/53,E,4,2.0
LORIMER ST,M,4,3.5
86 ST,6,4,6.083333333333333
LAFAYETTE AV,A,4,4.0
KINGSBRIDGE RD,4,4,9.333333333333334
KINGSBRIDGE RD,D,4,8.5
96 ST,1,4,40.0
90 ST-ELMHURST,7,4,27.833333333333332
9 AV,D,4,25.0
KINGSTON AV,4,4,12.0
125 ST,A,4,9.0
88 ST,A,4,20.0
KINGSTON-THROOP,A,4,5.0
86 ST-2 AVE,N,4,1.0
KNICKERBOCKER,M,4,3.5
86 ST,Q,4,
86 ST,N,4,0.0
WEST FARMS SQ,2,4,37.0
86 ST,M,4,0.0
KOSCIUSZKO ST,J,4,13.0
86 ST,A,4,10.5
125 ST,D,4,7.0
OCEAN PKWY,Q,4,
14 ST,E,4,4.25
5 AV/59 ST,N,4,23.5
14TH STREET,1,4,4.5
23 ST,2,4,4.0
23 ST,1,4,15.25
SOUTH FERRY,N,4,
219 ST,2,4,0.0
SOUTH FERRY,R,4,0.0
215 ST,1,4,6.5
VAN SICLEN AV,4,4,0.0
21 ST-QNSBRIDGE,F,4,
21 ST,G,4,0.0
SPRING ST,A,4,29.0
207 ST,1,4,58.0
20 AV,N,4,
SPRING ST,E,4,0.0
20 AV,D,4,12.5
2 AV,F,4,
SPRING ST,6,4,0.25
23 ST,6,4,5.0
SMITH-9 ST,G,4,
VAN SICLEN AV,J,4,28.0
VAN SICLEN AVE,A,4,32.5
25 AV,D,4,3.6666666666666665
SENECA AVE,M,4,3.5
149/GRAND CONC,2,4,10.0
238 ST,1,4,0.0
SHEEPSHEAD BAY,Q,4,
233 ST,2,4,0.0
231 ST,1,4,17.75
SHEPHERD AV,A,4,32.5
23 ST,Q,4,
SIMPSON ST,2,4,10.0
23 ST,N,4,
23 ST,M,4,
23 ST,F,4,
SMITH-9 ST,F,4,
23 ST,E,4,6.25
23 ST,A,4,29.0
191 ST,1,4,17.333333333333332
STEINWAY ST,E,4,1.0
190 ST,A,4,4.75
183 ST,4,4,13.5
170 ST,D,4,7.0
TIMES SQ-42 ST,7,4,6.333333333333333
170 ST,4,4,15.5
169 ST,F,4,0.0
TIMES SQ-42 ST,N,4,29.75
168 ST,A,4,10.125
155 ST,A,4,2.6666666666666665
TIMES SQ-42 ST,Q,4,
167 ST,D,4,9.5
167 ST,4,4,28.666666666666668
163 ST-AMSTERDM,A,4,3.75
TREMONT AV,D,4,17.0
161/YANKEE STAD,D,4,10.0
UNION ST,D,4,8.0
UNION ST,R,4,
157 ST,1,4,44.5
UNION ST,N,4,
174 ST,2,4,22.5
SARATOGA AV,4,4,7.333333333333333
TIMES SQ-42 ST,2,4,7.0
15 ST-PROSPECT,G,4,
182-183 STS,D,4,12.666666666666666
STERLING ST,2,4,6.0
181 ST,A,4,6.5
SUTPHIN BLVD,F,4,1.5
181 ST,1,4,38.333333333333336
15 ST-PROSPECT,F,4,
18 ST,1,4,23.0
SUTPHIN-ARCHER,E,4,8.0
18 AV,N,4,
18 AV,F,4,
SUTPHIN-ARCHER,J,4,8.0
18 AV,D,4,12.0
176 ST,4,4,32.666666666666664
SUTTER AV-RUTLD,4,4,9.75
175 ST,A,4,11.0
TIMES SQ-42 ST,1,4,29.75
UTICA AV,A,4,5.0
174-175 STS,D,4,20.0
25 ST,D,4,14.5
25 ST,N,4,
25 ST,R,4,
PENNSYLVANIA AV,4,4,4.5
42 ST-PORT AUTH,A,4,25.0
PRESIDENT ST,2,4,5.666666666666667
W 4 ST-WASH SQ,E,4,5.75
42 ST-BRYANT PK,M,4,0.0
PRINCE ST,N,4,
42 ST-BRYANT PK,F,4,
14 ST-UNION SQ,N,4,
42 ST-BRYANT PK,D,4,4.0
PRINCE ST,Q,4,
40 ST LOWERY ST,7,4,28.666666666666668
4 AV-9 ST,G,4,
4 AV-9 ST,F,4,
39 AV,N,4,0.0
PROSPECT AV,D,4,12.0
PROSPECT AV,N,4,
W 4 ST-WASH SQ,D,4,6.0
42 ST-PORT AUTH,E,4,113.33333333333333
14 ST-UNION SQ,Q,4,
45 ST,N,4,
45 ST,R,4,
PARK PLACE,2,4,0.0
5 AV/53 ST,E,4,1.0
4AV-9 ST,G,4,
PARK PLACE,FS,4,0.3333333333333333
4AV-9 ST,F,4,
PARKCHESTER,6,4,24.0
W 4 ST-WASH SQ,F,4,
49 ST,Q,4,
14 ST,F,4,
49 ST,N,4,13.5
PARKSIDE AV,Q,4,
47-50 STS ROCK,M,4,0.0
PARSONS BLVD,F,4,0.0
47-50 STS ROCK,F,4,
47-50 STS ROCK,D,4,4.0
PELHAM PKWY,2,4,26.0
46 ST,E,4,1.0
14 ST,M,4,
JAMAICA VAN WK,E,4,7.333333333333333
36 ST,E,4,13.0
36 AV,N,4,2.0
33 ST,4,4,23.0
ROCKAWAY AV,4,4,6.5
30 AV,N,4,0.0
ROCKAWAY AV,A,4,37.0
3 AV-149 ST,2,4,10.0
ROCKAWAY BLVD,A,4,17.5
3 AV 138 ST,6,4,18.9
28 ST,Q,4,
VERNON-JACKSON,7,4,11.571428571428571
ROCKAWAY PARK B,H,4,0.0
28 ST,N,4,
ROOSEVELT ISLND,F,4,
145 ST,A,4,6.666666666666667
28 ST,6,4,9.0
28 ST,4,4,25.0
28 ST,2,4,5.0
28 ST,1,4,16.75
33 ST,6,4,4.333333333333333
PROSPECT AV,R,4,
33 ST-RAWSON ST,7,4,21.416666666666668
34 ST-HERALD SQ,D,4,4.0
PROSPECT PARK,FS,4,0.0
34 ST-PENN STA,E,4,27.5
34 ST-PENN STA,A,4,26.5
PROSPECT PARK,Q,4,
QUEENS PLAZA,E,4,16.0
34 ST-PENN STA,2,4,6.0
34 ST-PENN STA,1,4,13.0
34 ST-HUDSON YD,7,4,0.0
QUEENSBORO PLZ,7,4,15.3
34 ST-HERALD SQ,Q,4,
34 ST-HERALD SQ,N,4,
RALPH AV,A,4,5.0
W 4 ST-WASH SQ,A,4,29.0
34 ST-HERALD SQ,M,4,0.0
RECTOR ST,1,4,0.0
145 ST,1,4,66.0
34 ST-HERALD SQ,F,4,
RECTOR ST,N,4,
B'WAY-LAFAYETTE,F,4,
WALL ST,4,4,4.666666666666667
155 ST,D,4,8.0
HALSEY ST,J,4,25.5
BOROUGH HALL,R,4,12.0
WOODHAVEN BLVD,J,4,
CONEY IS-STILLW,D,4,0.0
BOTANIC GARDEN,FS,4,4.75
FORDHAM RD,4,4,27.333333333333332
GUN HILL RD,2,4,7.0
BOWERY,J,4,31.0
CLINTON-WASH AV,G,4,3.6666666666666665
CLINTON-WASH AV,A,4,4.0
BOWLING GREEN,4,4,6.0
YORK ST,F,4,
FORDHAM RD,D,4,10.0
GREENPOINT AV,G,4,2.0
GRD CNTRL-42 ST,7,4,9.0
BRIARWOOD,E,4,4.5
CLEVELAND ST,J,4,
BRIARWOOD,F,4,2.0
CLASSON AV,G,4,3.6666666666666665
FOREST AVE,M,4,2.5
GRANT AV,A,4,28.0
BRIGHTON BEACH,Q,4,
FOREST HILLS 71,E,4,5.5
BROAD CHANNEL,A,4,13.333333333333334
CLARK ST,2,4,0.5
FLUSHING-MAIN,7,4,0.0
CONEY IS-STILLW,F,4,0.0
BOROUGH HALL,4,4,5.0
103 ST-CORONA,7,4,26.833333333333332
HOWARD BCH JFK,A,4,12.0
COURT SQ-23 ST,E,4,16.0
HOUSTON ST,2,4,4.0
BERGEN ST,4,4,14.0
COURT SQ,G,4,0.0
BERGEN ST,F,4,
FLUSHING AV,G,4,1.75
116 ST,A,4,8.0
BERGEN ST,G,4,
COURT SQ,7,4,11.0
WOODHAVEN BLVD,E,4,7.5
HOUSTON ST,1,4,15.4
FOREST HILLS 71,F,4,4.0
BEVERLEY ROAD,Q,4,
FLUSHING AV,J,4,23.0
HIGH ST,A,4,4.0
BEVERLY RD,2,4,2.5
CORTELYOU RD,Q,4,
BLEECKER ST,6,4,3.25
FLUSHING AV,M,4,4.0
CONEY IS-STILLW,Q,4,0.0
HEWES ST,M,4,1.0
BOROUGH HALL,2,4,0.0
CONEY IS-STILLW,N,4,
116 ST,6,4,26.6
HEWES ST,J,4,25.333333333333332
CORTLANDT ST,N,4,
103 ST,A,4,8.0
GRAND-NEWTOWN,E,4,9.0
CITY HALL,N,4,
110 ST,4,4,31.0
JAMAICA CENTER,J,4,0.0
CANAL ST,A,4,29.0
CANAL ST,E,4,0.5
FREEMAN ST,2,4,35.0
FULTON ST,4,4,6.5
CHAMBERS ST,2,4,2.0
CANAL ST,J,4,32.25
110 ST,6,4,19.5
CANAL ST,N,4,
CHAMBERS ST,1,4,12.833333333333334
FRESH POND RD,M,4,1.0
FULTON ST,2,4,0.0
CARROLL ST,F,4,
CARROLL ST,G,4,
FT HAMILTON PKY,N,4,
CENTRAL PK N110,2,4,10.0
FT HAMILTON PKY,D,4,23.0
CASTLE HILL AV,6,4,24.5
111 ST,7,4,17.666666666666668
CENTRAL AV,M,4,4.5
FT HAMILTON PKY,F,4,
FT HAMILTON PKY,G,4,
CATHEDRAL PKWY,1,4,28.666666666666668
WORLD TRADE CTR,E,4,0.0
CANAL ST,1,4,18.5
CHAMBERS ST,J,4,39.5
BURNSIDE AV,4,4,26.0
FRANKLIN ST,1,4,15.2
GRAND ST,D,4,6.5
116 ST,2,4,10.0
BROADWAY,G,4,2.0
CHURCH AV,Q,4,
GRAND ARMY PLAZ,4,4,11.0
BROADWAY,N,4,3.6666666666666665
WTC-CORTLANDT,1,4,26.0
CHURCH AV,G,4,0.0
104 ST,J,4,10.666666666666666
BRONX PARK EAST,2,4,37.0
BROOK AV,6,4,24.5
CHURCH AV,F,4,
BROAD ST,J,4,0.0
FRANKLIN AV,A,4,4.0
BROOKLYN BRIDGE,4,4,3.5
CHURCH AV,2,4,3.0
GATES AV,J,4,24.5
CHRISTOPHER ST,2,4,4.0
BROOKLYN BRIDGE,6,4,0.0
CHRISTOPHER ST,1,4,16.0
111 ST,J,4,8.666666666666666
FRANKLIN AV,FS,4,9.0
FULTON ST,J,4,22.25
BUHRE AV,6,4,21.25
CHAUNCEY ST,J,4,26.0
FULTON ST,G,4,3.6666666666666665
GRAND ARMY PLAZ,2,4,2.5
FAR ROCKAWAY,A,4,0.0
BOROUGH HALL,N,4,
INTERVALE AV,2,4,10.0
103 ST,4,4,31.0
BEACH 25 ST,A,4,5.666666666666667
EASTN PKWY-MUSM,4,4,5.0
121 ST,J,4,6.666666666666667
DEKALB AV,Q,4,
BERGEN ST,2,4,5.0
BEACH 36 ST,A,4,1.3333333333333333
ELDER AV,6,4,6.666666666666667
103 ST,6,4,19.666666666666668
DEKALB AV,R,4,
HUNTS POINT AV,6,4,21.4
DEKALB AV,N,4,
BEACH 60 ST,A,4,10.666666666666666
HUNTERS PT AV,7,4,7.083333333333333
DEKALB AV,D,4,8.0
BEACH 67 ST,A,4,13.333333333333334
CYPRESS HILLS,J,4,43.0
ELMHURST AV,E,4,10.0
HOYT-SCHER,G,4,3.3333333333333335
BEACH 90 ST,H,4,0.5
BEACH 44 ST,A,4,6.333333333333333
BEACH 98 ST,H,4,0.0
BEACH 105 ST,H,4,0.0
DELANCEY/ESSEX,F,4,
E 180 ST,2,4,23.5
B'WAY-LAFAYETTE,M,4,1.5
E 149 ST,6,4,20.333333333333332
BAY 50 ST,D,4,1.3333333333333333
E 143/ST MARY'S,6,4,29.0
JAMAICA CENTER,E,4,0.0
BAY PKWY,D,4,6.333333333333333
EAST BROADWAY,F,4,
125 ST,1,4,5.0
INWOOD-207 ST,A,4,0.0
JAMAICA 179 ST,F,4,0.0
BAY PKWY,F,4,
WHITLOCK AV,6,4,43.0
DYCKMAN ST,1,4,22.8
BAY PKWY,N,4,
EASTN PKWY-MUSM,2,4,0.0
BAY RIDGE AV,R,4,
JACKSON AV,2,4,10.0
DITMAS AV,F,4,
BAY RIDGE-95 ST,R,4,0.0
DYCKMAN ST,A,4,3.75
CYPRESS AV,6,4,21.0
CATHEDRAL PKWY,A,4,7.333333333333333
ZEREGA AV,6,4,22.25
BEDFORD PK BLVD,D,4,0.0
EUCLID AV,A,4,32.0
HOYT-SCHER,A,4,4.0
WINTHROP ST,2,4,5.0
116 ST-COLUMBIA,1,4,25.0
CROWN HTS-UTICA,4,4,14.0
BEDFORD PK BLVD,4,4,2.5
HOYT ST,2,4,0.0
BEDFORD-NOSTRAN,G,4,3.3333333333333335
CRESCENT ST,J,4,30.5
PROSPECT PARK,Q,5,
EASTN PKWY-MUSM,2,5,24.5
QUEENSBORO PLZ,7,5,67.75
34 ST-PENN STA,A,5,88.5
DYCKMAN ST,1,5,68.66666666666667
FRANKLIN AV,FS,5,5.333333333333333
CHAUNCEY ST,J,5,37.25
34 ST-HUDSON YD,7,5,3.6666666666666665
TIMES SQ-42 ST,N,5,96.66666666666667
168 ST,A,5,39.375
QUEENS PLAZA,E,5,33.0
SPRING ST,6,5,0.5714285714285714
191 ST,1,5,55.2
34 ST-PENN STA,2,5,42.333333333333336
FRANKLIN ST,1,5,5.5
CHAMBERS ST,J,5,60.75
34 ST-PENN STA,1,5,29.5
23 ST,6,5,1.5
DITMAS AV,F,5,
CHAMBERS ST,A,5,48.357142857142854
215 ST,1,5,46.833333333333336
FLUSHING AV,G,5,4.666666666666667
170 ST,D,5,61.5
34 ST-HERALD SQ,D,5,13.142857142857142
FRANKLIN AV,A,5,46.6
34 ST-HERALD SQ,F,5,
STEINWAY ST,E,5,28.666666666666668
CHURCH AV,2,5,39.0
DELANCEY/ESSEX,F,5,
RECTOR ST,1,5,2.2
TIMES SQ-42 ST,7,5,21.333333333333332
CHRISTOPHER ST,2,5,75.25
170 ST,4,5,80.0
34 ST-HERALD SQ,M,5,
SPRING ST,4,5,10.0
21 ST-QNSBRIDGE,F,5,
RALPH AV,A,5,62.0
CHRISTOPHER ST,1,5,36.4
EUCLID AV,A,5,98.6
169 ST,F,5,10.0
34 ST-HERALD SQ,N,5,
34 ST-HERALD SQ,Q,5,
34 ST-PENN STA,E,5,103.33333333333333
167 ST,D,5,61.4
21 ST,G,5,0.0
4 AV-9 ST,G,5,
PROSPECT AV,2,5,59.0
CENTRAL PK N110,2,5,47.2
40 ST LOWERY ST,7,5,65.42857142857143
PRINCE ST,Q,5,
2 AV,F,5,
COURT SQ-23 ST,E,5,32.666666666666664
E 143/ST MARY'S,6,5,37.166666666666664
UNION ST,D,5,26.428571428571427
42 ST-BRYANT PK,D,5,3.4285714285714284
FT HAMILTON PKY,D,5,46.8
CENTRAL AV,M,5,
157 ST,1,5,68.9
42 ST-BRYANT PK,F,5,
PRINCE ST,N,5,
20 AV,N,5,
E 149 ST,6,5,35.2
42 ST-BRYANT PK,M,5,
FT HAMILTON PKY,F,5,
SPRING ST,E,5,0.0
PRESIDENT ST,2,5,25.25
161/YANKEE STAD,D,5,48.8
PROSPECT PARK,FS,5,0.0
FRESH POND RD,M,5,
4 AV-9 ST,F,5,
TIMES SQ-42 ST,Q,5,
RECTOR ST,N,5,
FRANKLIN ST,2,5,70.0
36 AV,N,5,16.5
PROSPECT AV,R,5,
ST LAWRENCE AV,6,5,26.166666666666668
FREEMAN ST,2,5,58.0
CHAMBERS ST,2,5,58.6
36 ST,E,5,39.333333333333336
COURT SQ,G,5,
CRESCENT ST,J,5,40.75
167 ST,4,5,85.0
PROSPECT AV,N,5,
DYCKMAN ST,A,5,9.25
PROSPECT AV,D,5,29.666666666666668
163 ST-AMSTERDM,A,5,46.375
CHAMBERS ST,1,5,4.8
EAST BROADWAY,F,5,
39 AV,N,5,7.0
SPRING ST,A,5,54.666666666666664
207 ST,1,5,36.4
TREMONT AV,D,5,61.0
33 ST-RAWSON ST,7,5,62.42857142857143
174 ST,2,5,68.33333333333333
33 ST,6,5,4.0
CONEY IS-STILLW,D,5,0.0
CORTELYOU RD,Q,5,
231 ST,1,5,55.75
CYPRESS HILLS,J,5,35.6
FLUSHING AV,J,5,49.25
233 ST,2,5,16.5
SHEEPSHEAD BAY,Q,5,
FORDHAM RD,4,5,75.0
182-183 STS,D,5,54.75
CLINTON-WASH AV,G,5,13.5
SUTPHIN-ARCHER,E,5,6.0
18 AV,N,5,
238 ST,1,5,56.0
SENECA AVE,M,5,
CLINTON-WASH AV,A,5,50.4
DEKALB AV,D,5,24.428571428571427
18 AV,F,5,
25 AV,D,5,13.0
SARATOGA AV,4,5,57.5
SOUTH FERRY,1,5,59.25
DEKALB AV,N,5,
18 ST,1,5,23.5
FORDHAM RD,D,5,58.25
18 ST,2,5,87.25
23 ST,Q,5,
CONEY IS-STILLW,Q,5,0.0
STERLING ST,2,5,30.5
23 ST,A,5,59.857142857142854
CROWN HTS-UTICA,4,5,77.75
181 ST,A,5,15.75
CYPRESS AV,6,5,35.75
23 ST,E,5,3.5
SMITH-9 ST,F,5,
FLUSHING AV,M,5,
CONEY IS-STILLW,F,5,0.0
ELMHURST AV,E,5,35.5
23 ST,F,5,
SUTPHIN BLVD,F,5,20.333333333333332
181 ST,1,5,71.375
23 ST,M,5,
SIMPSON ST,2,5,59.25
CATHEDRAL PKWY,A,5,33.5
23 ST,4,5,10.7
23 ST,N,5,
23 ST,2,5,39.0
FLUSHING-MAIN,7,5,3.0
SHEPHERD AV,A,5,82.0
CHURCH AV,F,5,
25 ST,D,5,37.4
CLEVELAND ST,J,5,18.0
28 ST,Q,5,
3 AV 138 ST,6,5,28.6
EASTN PKWY-MUSM,4,5,31.75
ROCKAWAY BLVD,A,5,99.0
219 ST,2,5,18.25
FOREST HILLS 71,F,5,29.666666666666668
CHURCH AV,Q,5,
TIMES SQ-42 ST,1,5,39.142857142857146
3 AV-149 ST,2,5,54.0
ROCKAWAY AV,A,5,61.333333333333336
190 ST,A,5,9.5
ROCKAWAY AV,4,5,63.6
CHURCH AV,G,5,0.0
174-175 STS,D,5,60.5
30 AV,N,5,15.0
COURT SQ,7,5,49.857142857142854
SOUTH FERRY,R,5,0.0
TIMES SQ-42 ST,2,5,60.875
33 ST,4,5,20.0
SMITH-9 ST,G,5,
DEKALB AV,R,5,
DEKALB AV,Q,5,
23 ST,1,5,20.0
CITY HALL,N,5,
175 ST,A,5,24.5
25 ST,N,5,
SUTPHIN-ARCHER,J,5,42.5
18 AV,D,5,32.6
25 ST,R,5,
CLASSON AV,G,5,14.0
183 ST,4,5,74.66666666666667
28 ST,1,5,15.0
ELDER AV,6,5,37.333333333333336
28 ST,2,5,82.25
176 ST,4,5,94.0
28 ST,4,5,12.0
225 ST,2,5,18.666666666666668
FOREST AVE,M,5,
CORTLANDT ST,N,5,
SUTTER AV-RUTLD,4,5,67.5
28 ST,6,5,3.2
ROOSEVELT ISLND,F,5,
FOREST HILLS 71,E,5,22.0
CLARK ST,2,5,15.0
28 ST,N,5,
ROCKAWAY PARK B,H,5,0.3333333333333333
SOUTH FERRY,N,5,
20 AV,D,5,26.2
JAMAICA CENTER,J,5,0.0
PENNSYLVANIA AV,4,5,64.33333333333333
LEXINGTON AV/63,M,5,
BERGEN ST,4,5,27.6
82 ST-JACKSON H,7,5,60.125
LEXINGTON AV/63,F,5,
85 ST-FOREST PK,J,5,55.0
HOUSTON ST,2,5,58.4
86 ST,1,5,78.75
86 ST,2,5,53.2
86 ST,4,5,27.142857142857142
LEXINGTON AV/53,E,5,6.5
HOWARD BCH JFK,A,5,85.75
BERGEN ST,2,5,8.0
86 ST,6,5,8.75
LAFAYETTE AV,A,5,53.0
HOYT ST,2,5,80.33333333333333
86 ST,A,5,36.4
KOSCIUSZKO ST,J,5,35.5
BEDFORD-NOSTRAN,G,5,13.5
86 ST,M,5,0.0
BEDFORD PK BLVD,D,5,36.5
86 ST,N,5,0.0
BEDFORD PK BLVD,4,5,29.5
86 ST,Q,5,0.0
KNICKERBOCKER,M,5,
86 ST-2 AVE,N,5,4.0
KINGSTON-THROOP,A,5,57.5
HOYT-SCHER,A,5,52.666666666666664
88 ST,A,5,96.2
KINGSTON AV,4,5,29.0
81 ST-MUSEUM,A,5,11.5
BERGEN ST,F,5,
LEXINGTON AV/63,Q,5,
80 ST,A,5,99.625
BOROUGH HALL,4,5,5.571428571428571
75 ST-ELDERTS,J,5,52.25
MARCY AV,M,5,
77 ST,4,5,9.5
HEWES ST,J,5,51.5
BOROUGH HALL,2,5,52.4
77 ST,6,5,7.0
MARCY AV,J,5,47.5
77 ST,R,5,
HEWES ST,M,5,
79 ST,1,5,112.33333333333333
MARBLE HILL-225,1,5,48.0
BLEECKER ST,6,5,1.75
79 ST,2,5,49.5
BEACH 98 ST,H,5,0.6666666666666666
79 ST,D,5,40.0
BLEECKER ST,4,5,15.5
8 AV,A,5,62.714285714285715
LORIMER ST,J,5,51.25
8 AV,E,5,2.5
HIGH ST,A,5,54.0
UNION ST,N,5,
BEVERLEY ROAD,Q,5,
8 AV,N,5,
LONGWOOD AV,6,5,16.6
8 ST-NYU,N,5,
8 ST-NYU,Q,5,
LIBERTY AV,A,5,70.75
HOUSTON ST,1,5,30.0
BERGEN ST,G,5,
LORIMER ST,M,5,
9 AV,D,5,40.0
BEACH 90 ST,H,5,1.0
90 ST-ELMHURST,7,5,58.357142857142854
ATL AV-BARCLAY,4,5,20.785714285714285
BAY RIDGE-95 ST,R,5,0.0
AVENUE H,Q,5,
JKSN HT-ROOSVLT,F,5,54.0
AVENUE I,F,5,
BAY RIDGE AV,R,5,
AVENUE J,Q,5,
JKSN HT-ROOSVLT,E,5,37.0
JACKSON AV,2,5,59.875
AVENUE M,Q,5,
BAY PKWY,N,5,
AVENUE N,F,5,
JAY ST-METROTEC,R,5,
JAY ST-METROTEC,N,5,
INWOOD-207 ST,A,5,0.0
BAY PKWY,F,5,
AVENUE U,F,5,
JAY ST-METROTEC,F,5,
JAMAICA 179 ST,F,5,0.0
BAY PKWY,D,5,18.0
AVENUE U,N,5,0.0
AVENUE U,Q,5,
JAY ST-METROTEC,A,5,51.833333333333336
JAMAICA CENTER,E,5,0.0
BAY 50 ST,D,5,8.0
AVENUE X,F,5,0.0
JAMAICA VAN WK,E,5,9.0
B'WAY-LAFAYETTE,D,5,11.0
B'WAY-LAFAYETTE,M,5,
B'WAY-LAFAYETTE,F,5,
AVENUE P,F,5,
75 AV,F,5,29.666666666666668
JUNCTION BLVD,7,5,62.833333333333336
ASTORIA DITMARS,N,5,0.0
96 ST,1,5,80.71428571428571
KINGSBRIDGE RD,D,5,50.75
96 ST,2,5,40.5
KINGSBRIDGE RD,4,5,49.0
HOYT-SCHER,G,5,8.5
BEACH 67 ST,A,5,28.5
96 ST,6,5,16.5
KINGS HWY,Q,5,
HUNTERS PT AV,7,5,58.166666666666664
BEACH 60 ST,A,5,20.0
96 ST,A,5,36.0
KINGS HWY,N,5,
BEACH 44 ST,A,5,5.0
96 ST-2 AVE,Q,5,4.0
ATL AV-BARCLAY,2,5,19.125
ALABAMA AV,J,5,34.0
HUNTS POINT AV,6,5,42.2
ALLERTON AV,2,5,46.0
AQUEDUCT N.COND,A,5,85.5
KEW GARDENS,F,5,28.0
BEACH 36 ST,A,5,8.0
AQUEDUCT RACETR,A,5,30.0
KEW GARDENS,E,5,18.5
ASTOR PL,4,5,9.5
ASTOR PL,6,5,1.0
BEACH 25 ST,A,5,0.0
